device_id,location,event_time,bme280_1_temperature,bme280_1_humidity,bme280_1_pressure,bme280_2_temperature,bme280_2_humidity,bme280_2_pressure,tsl2572_light_lux,max_temperature,temperature_status,threshold
rpi5-001,welding-station-1,2026-01-05T05:22:09.219447+00:00,19.2,48.4,1003.0,33.0,26.5,1002.1,15.7,33.0,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T12:23:45.988001+00:00,19.4,50.0,1006.5,32.3,28.1,1005.6,12.3,32.3,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T03:56:51.122687+00:00,17.9,51.3,1004.1,33.2,25.8,1003.2,10.0,33.2,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T12:49:31.541551+00:00,19.5,48.8,1006.8,32.8,27.1,1006.0,9.1,32.8,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T09:06:57.324076+00:00,17.6,49.0,1003.5,33.4,24.4,1002.6,0.1,33.4,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T08:17:45.927678+00:00,17.9,48.8,1003.0,33.4,24.7,1002.1,0.1,33.4,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T13:00:31.651092+00:00,19.5,48.9,1007.2,32.6,27.4,1006.3,6.0,32.6,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T02:03:15.174338+00:00,16.8,50.3,1007.0,33.4,24.0,1006.1,9.1,33.4,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T11:35:28.590162+00:00,18.4,53.1,1005.9,33.1,27.2,1005.0,8.9,33.1,NORMAL,50.0
rpi5-001,welding-station-1,2026-01-05T09:48:17.477229+00:00,17.5,49.9,1003.8,33.2,24.9,1002.9,0.1,33.2,NORMAL,50.0
